campaign_id,date,total_kpi_today,starts,ends,flight_id,kpiVolume,kpi_cumsum,kpi_open_today,kpi_needed_today
46,2023-10-04,32,2023-10-04,2023-10-31,932,1834.0,32,1802.0,67
46,2023-10-05,49,2023-10-04,2023-10-31,932,1834.0,81,1753.0,68
46,2023-10-06,77,2023-10-04,2023-10-31,932,1834.0,158,1676.0,68
46,2023-10-07,80,2023-10-04,2023-10-31,932,1834.0,238,1596.0,67
46,2023-10-08,77,2023-10-04,2023-10-31,932,1834.0,315,1519.0,67
46,2023-10-09,86,2023-10-04,2023-10-31,932,1834.0,401,1433.0,66
46,2023-10-12,73,2023-10-04,2023-10-31,932,1834.0,474,1360.0,72
47,2023-09-01,156,2023-09-01,2023-09-30,831,11536.0,156,11380.0,393
47,2023-09-02,132,2023-09-01,2023-09-30,831,11536.0,288,11248.0,402
47,2023-09-03,138,2023-09-01,2023-09-30,831,11536.0,426,11110.0,412
47,2023-09-04,86,2023-09-01,2023-09-30,831,11536.0,512,11024.0,424
47,2023-09-05,103,2023-09-01,2023-09-30,831,11536.0,615,10921.0,437
47,2023-09-06,109,2023-09-01,2023-09-30,831,11536.0,724,10812.0,451
47,2023-09-07,69,2023-09-01,2023-09-30,831,11536.0,793,10743.0,468
47,2023-09-08,62,2023-09-01,2023-09-30,831,11536.0,855,10681.0,486
47,2023-09-09,84,2023-09-01,2023-09-30,831,11536.0,939,10597.0,505
47,2023-09-10,86,2023-09-01,2023-09-30,831,11536.0,1025,10511.0,526
47,2023-09-11,41,2023-09-01,2023-09-30,831,11536.0,1066,10470.0,552
47,2023-09-12,102,2023-09-01,2023-09-30,831,11536.0,1168,10368.0,576
47,2023-09-14,217,2023-09-01,2023-09-30,831,11536.0,1385,10151.0,635
47,2023-09-15,214,2023-09-01,2023-09-30,831,11536.0,1599,9937.0,663
47,2023-09-16,182,2023-09-01,2023-09-30,831,11536.0,1781,9755.0,697
47,2023-09-17,244,2023-09-01,2023-09-30,831,11536.0,2025,9511.0,732
47,2023-09-18,442,2023-09-01,2023-09-30,831,11536.0,2467,9069.0,756
47,2023-09-19,417,2023-09-01,2023-09-30,831,11536.0,2884,8652.0,787
47,2023-09-20,481,2023-09-01,2023-09-30,831,11536.0,3365,8171.0,818
47,2023-09-21,668,2023-09-01,2023-09-30,831,11536.0,4033,7503.0,834
47,2023-09-22,703,2023-09-01,2023-09-30,831,11536.0,4736,6800.0,850
47,2023-09-23,714,2023-09-01,2023-09-30,831,11536.0,5450,6086.0,870
47,2023-09-24,684,2023-09-01,2023-09-30,831,11536.0,6134,5402.0,901
47,2023-09-25,716,2023-09-01,2023-09-30,831,11536.0,6850,4686.0,938
47,2023-09-25,716,2023-09-01,2023-09-30,831,11536.0,7566,3970.0,794
47,2023-09-26,695,2023-09-01,2023-09-30,831,11536.0,8261,3275.0,819
47,2023-09-27,736,2023-09-01,2023-09-30,831,11536.0,8997,2539.0,847
47,2023-09-30,662,2023-09-01,2023-09-30,831,11536.0,9659,1877.0,1877
47,2023-10-01,300,2023-10-01,2023-10-31,862,11536.0,300,11236.0,375
47,2023-10-02,313,2023-10-01,2023-10-31,862,11536.0,613,10923.0,377
47,2023-10-03,334,2023-10-01,2023-10-31,862,11536.0,947,10589.0,379
47,2023-10-04,215,2023-10-01,2023-10-31,862,11536.0,1162,10374.0,385
47,2023-10-05,257,2023-10-01,2023-10-31,862,11536.0,1419,10117.0,390
47,2023-10-06,215,2023-10-01,2023-10-31,862,11536.0,1634,9902.0,397
47,2023-10-07,261,2023-10-01,2023-10-31,862,11536.0,1895,9641.0,402
47,2023-10-08,251,2023-10-01,2023-10-31,862,11536.0,2146,9390.0,409
47,2023-10-09,257,2023-10-01,2023-10-31,862,8890.0,2403,6487.0,295
47,2023-10-10,235,2023-10-01,2023-10-31,862,8890.0,2638,6252.0,298
47,2023-10-11,212,2023-10-01,2023-10-31,862,8890.0,2850,6040.0,302
47,2023-10-12,224,2023-10-01,2023-10-31,862,8890.0,3074,5816.0,307
48,2023-09-11,20,2023-09-01,2023-09-30,851,250.0,20,230.0,13
48,2023-09-12,28,2023-09-01,2023-09-30,851,250.0,48,202.0,12
48,2023-09-14,21,2023-09-01,2023-09-30,851,250.0,69,181.0,12
48,2023-09-15,14,2023-09-01,2023-09-30,851,250.0,83,167.0,12
48,2023-09-16,17,2023-09-01,2023-09-30,851,250.0,100,150.0,11
48,2023-09-17,18,2023-09-01,2023-09-30,851,250.0,118,132.0,11
48,2023-09-18,8,2023-09-01,2023-09-30,851,250.0,126,124.0,11
48,2023-09-19,24,2023-09-01,2023-09-30,851,250.0,150,100.0,10
48,2023-09-20,32,2023-09-01,2023-09-30,851,250.0,182,68.0,7
48,2023-09-21,10,2023-09-01,2023-09-30,851,250.0,192,58.0,7
48,2023-09-22,8,2023-09-01,2023-09-30,851,250.0,200,50.0,7
48,2023-09-23,21,2023-09-01,2023-09-30,851,250.0,221,29.0,5
48,2023-09-24,17,2023-09-01,2023-09-30,851,250.0,238,12.0,2
48,2023-09-25,11,2023-09-01,2023-09-30,851,250.0,249,1.0,1
48,2023-09-25,11,2023-09-01,2023-09-30,851,250.0,260,-10.0,-2
48,2023-09-26,5,2023-09-01,2023-09-30,851,600.0,265,335.0,84
48,2023-09-27,5,2023-09-01,2023-09-30,851,600.0,270,330.0,110
48,2023-09-28,3,2023-09-01,2023-09-30,851,600.0,273,327.0,164
68,2023-09-01,800,2023-09-01,2023-09-30,792,83500.0,800,82700.0,2852
68,2023-09-02,1318,2023-09-01,2023-09-30,792,83500.0,2118,81382.0,2907
68,2023-09-03,1600,2023-09-01,2023-09-30,792,83500.0,3718,79782.0,2955
68,2023-09-04,1399,2023-09-01,2023-09-30,792,83500.0,5117,78383.0,3015
68,2023-09-05,1853,2023-09-01,2023-09-30,792,83500.0,6970,76530.0,3062
68,2023-09-06,1406,2023-09-01,2023-09-30,792,83500.0,8376,75124.0,3131
68,2023-09-07,870,2023-09-01,2023-09-30,792,83500.0,9246,74254.0,3229
68,2023-09-08,1180,2023-09-01,2023-09-30,792,83500.0,10426,73074.0,3322
68,2023-09-09,1216,2023-09-01,2023-09-30,792,83500.0,11642,71858.0,3422
68,2023-09-10,1269,2023-09-01,2023-09-30,792,83500.0,12911,70589.0,3530
68,2023-09-11,1955,2023-09-01,2023-09-30,792,83500.0,14866,68634.0,3613
68,2023-09-12,3504,2023-09-01,2023-09-30,792,83500.0,18370,65130.0,3619
68,2023-09-13,800,2023-09-01,2023-09-30,792,83500.0,19170,64330.0,3785
68,2023-09-14,5760,2023-09-01,2023-09-30,792,83500.0,24930,58570.0,3661
68,2023-09-15,4314,2023-09-01,2023-09-30,792,83500.0,29244,54256.0,3618
68,2023-09-16,8969,2023-09-01,2023-09-30,792,83500.0,38213,45287.0,3235
68,2023-09-17,11140,2023-09-01,2023-09-30,792,83500.0,49353,34147.0,2627
68,2023-09-18,7169,2023-09-01,2023-09-30,792,83500.0,56522,26978.0,2249
68,2023-09-19,5538,2023-09-01,2023-09-30,792,83500.0,62060,21440.0,1950
68,2023-09-20,6754,2023-09-01,2023-09-30,792,83500.0,68814,14686.0,1469
68,2023-09-21,6902,2023-09-01,2023-09-30,792,83500.0,75716,7784.0,865
68,2023-09-22,5536,2023-09-01,2023-09-30,792,83500.0,81252,2248.0,281
68,2023-09-23,11029,2023-09-01,2023-09-30,792,83500.0,92281,-8781.0,-1254
68,2023-09-24,7736,2023-09-01,2023-09-30,792,83500.0,100017,-16517.0,-2752
68,2023-09-25,6458,2023-09-01,2023-09-30,792,83500.0,106475,-22975.0,-4595
68,2023-09-25,6458,2023-09-01,2023-09-30,792,83500.0,112933,-29433.0,-5886
68,2023-09-26,8353,2023-09-01,2023-09-30,792,83500.0,121286,-37786.0,-9446
68,2023-09-27,6817,2023-09-01,2023-09-30,792,83500.0,128103,-44603.0,-14867
68,2023-09-28,5732,2023-09-01,2023-09-30,792,83500.0,133835,-50335.0,-25167
68,2023-09-30,0,2023-09-01,2023-09-30,792,83500.0,133835,-50335.0,-50335
68,2023-10-01,11960,2023-10-01,2023-10-31,854,83500.0,11960,71540.0,2385
68,2023-10-02,7967,2023-10-01,2023-10-31,854,83500.0,19927,63573.0,2193
68,2023-10-03,6576,2023-10-01,2023-10-31,854,83500.0,26503,56997.0,2036
68,2023-10-04,192,2023-10-01,2023-10-31,854,83500.0,26695,56805.0,2104
68,2023-10-05,499,2023-10-01,2023-10-31,854,83500.0,27194,56306.0,2166
68,2023-10-06,319,2023-10-01,2023-10-31,854,83500.0,27513,55987.0,2240
68,2023-10-07,0,2023-10-01,2023-10-31,854,83500.0,27513,55987.0,2333
68,2023-10-08,1658,2023-10-01,2023-10-31,854,83500.0,29171,54329.0,2363
68,2023-10-09,0,2023-10-01,2023-10-31,854,83500.0,29171,54329.0,2470
68,2023-10-10,0,2023-10-01,2023-10-31,854,83500.0,29171,54329.0,2588
107,2023-09-01,28,2023-09-01,2023-09-30,799,2100.0,28,2072.0,72
107,2023-09-02,58,2023-09-01,2023-09-30,799,2100.0,86,2014.0,72
107,2023-09-03,59,2023-09-01,2023-09-30,799,2100.0,145,1955.0,73
107,2023-09-04,49,2023-09-01,2023-09-30,799,2100.0,194,1906.0,74
107,2023-09-05,39,2023-09-01,2023-09-30,799,2100.0,233,1867.0,75
107,2023-09-06,31,2023-09-01,2023-09-30,799,2100.0,264,1836.0,77
107,2023-09-07,34,2023-09-01,2023-09-30,799,2100.0,298,1802.0,79
107,2023-09-08,75,2023-09-01,2023-09-30,799,2100.0,373,1727.0,79
107,2023-09-09,78,2023-09-01,2023-09-30,799,2100.0,451,1649.0,79
107,2023-09-10,102,2023-09-01,2023-09-30,799,2100.0,553,1547.0,78
107,2023-09-11,72,2023-09-01,2023-09-30,799,2100.0,625,1475.0,78
107,2023-09-12,55,2023-09-01,2023-09-30,799,2100.0,680,1420.0,79
107,2023-09-14,26,2023-09-01,2023-09-30,799,2100.0,706,1394.0,88
107,2023-09-15,33,2023-09-01,2023-09-30,799,2100.0,739,1361.0,91
107,2023-09-16,35,2023-09-01,2023-09-30,799,2100.0,774,1326.0,95
107,2023-09-17,41,2023-09-01,2023-09-30,799,2100.0,815,1285.0,99
107,2023-09-18,27,2023-09-01,2023-09-30,799,2100.0,842,1258.0,105
107,2023-09-19,31,2023-09-01,2023-09-30,799,2100.0,873,1227.0,112
107,2023-09-20,42,2023-09-01,2023-09-30,799,2100.0,915,1185.0,119
107,2023-09-21,42,2023-09-01,2023-09-30,799,2100.0,957,1143.0,127
107,2023-09-22,50,2023-09-01,2023-09-30,799,2100.0,1007,1093.0,137
107,2023-09-23,79,2023-09-01,2023-09-30,799,2100.0,1086,1014.0,145
107,2023-09-24,82,2023-09-01,2023-09-30,799,2100.0,1168,932.0,156
107,2023-09-25,68,2023-09-01,2023-09-30,799,2100.0,1236,864.0,173
107,2023-09-25,68,2023-09-01,2023-09-30,799,2100.0,1304,796.0,160
107,2023-09-26,52,2023-09-01,2023-09-30,799,2100.0,1356,744.0,186
107,2023-09-27,73,2023-09-01,2023-09-30,799,2100.0,1429,671.0,224
107,2023-09-28,34,2023-09-01,2023-09-30,799,2100.0,1463,637.0,319
107,2023-09-30,7,2023-09-01,2023-09-30,799,2100.0,1470,630.0,630
107,2023-10-01,10,2023-10-01,2023-10-31,887,2100.0,10,2090.0,70
107,2023-10-02,7,2023-10-01,2023-10-31,887,2100.0,17,2083.0,72
107,2023-10-03,7,2023-10-01,2023-10-31,887,2100.0,24,2076.0,75
107,2023-10-04,77,2023-10-01,2023-10-31,887,2100.0,101,1999.0,75
107,2023-10-05,77,2023-10-01,2023-10-31,887,2100.0,178,1922.0,74
107,2023-10-06,82,2023-10-01,2023-10-31,887,2100.0,260,1840.0,74
107,2023-10-07,78,2023-10-01,2023-10-31,887,2100.0,338,1762.0,74
107,2023-10-08,80,2023-10-01,2023-10-31,887,2100.0,418,1682.0,74
107,2023-10-09,105,2023-10-01,2023-10-31,887,2100.0,523,1577.0,72
107,2023-10-10,82,2023-10-01,2023-10-31,887,2100.0,605,1495.0,72
107,2023-10-11,106,2023-10-01,2023-10-31,887,2100.0,711,1389.0,70
107,2023-10-12,99,2023-10-01,2023-10-31,887,2100.0,810,1290.0,68
182,2023-09-01,16,2023-09-01,2023-09-30,822,421.0,16,405.0,14
